Model_Name,type,feat_select,Target_Dist,Data_Type,pozitif_acc_treshold_0.5,negatif_acc_treshold_0.5,pozitif_acc_treshold_0.7,negatif_acc_treshold_0.7,pozitif_acc_treshold_0.8,negatif_acc_treshold_0.8,pozitif_acc_treshold_0.9,negatif_acc_treshold_0.9
"['Log_Reg', 'Decistion_Tree', 'Random_Forrest']",Ensemble_3,all_columns,binary,Test,0.5564444444444444,0.5544100801832761,0.7777777777777778,1.0,,,,
"['Log_Reg', 'Decistion_Tree', 'Random_Forrest']",Ensemble_3,manuel_selected,binary,Test,0.5580024813895782,0.5511940708207521,0.7647058823529411,,,,,
"['Log_Reg', 'Decistion_Tree', 'Random_Forrest']",Ensemble_3,test_selected,binary,Test,0.5591044776119403,0.5561558146147285,1.0,,,,,
"['Log_Reg', 'Decistion_Tree', 'XG_Poisson']",Ensemble_3,all_columns,binary,Test,0.5000728119994176,,0.5000728119994176,,0.5005102784662487,,0.5019095182138661,
"['Log_Reg', 'Decistion_Tree', 'XG_Poisson']",Ensemble_3,manuel_selected,binary,Test,0.5000728119994176,,0.5000728119994176,,0.5002914602156806,,0.5010233918128655,
"['Log_Reg', 'Decistion_Tree', 'XG_Poisson']",Ensemble_3,test_selected,binary,Test,0.5000728119994176,,0.5000728119994176,,0.5003643783705,,0.5013200352009387,
"['Log_Reg', 'Random_Forrest', 'XG_Poisson']",Ensemble_3,all_columns,binary,Test,0.5000728119994176,,0.5000728119994176,,0.5003643783705,,0.501985002205558,
"['Log_Reg', 'Random_Forrest', 'XG_Poisson']",Ensemble_3,manuel_selected,binary,Test,0.5000728119994176,,0.5000728119994176,,0.5002914602156806,,0.5012439631201522,
"['Log_Reg', 'Random_Forrest', 'XG_Poisson']",Ensemble_3,test_selected,binary,Test,0.5000728119994176,,0.5000728119994176,,0.5002186270222999,,0.5013227513227513,
"['Decistion_Tree', 'Random_Forrest', 'XG_Poisson']",Ensemble_3,all_columns,binary,Test,0.5000728119994176,,0.5001456452082726,,0.5002914602156806,,0.5013184881336068,
"['Decistion_Tree', 'Random_Forrest', 'XG_Poisson']",Ensemble_3,manuel_selected,binary,Test,0.5000728119994176,,0.5000728119994176,,0.5001456876456877,,0.5005116211080252,
"['Decistion_Tree', 'Random_Forrest', 'XG_Poisson']",Ensemble_3,test_selected,binary,Test,0.5000728119994176,,0.5000728119994176,,0.500364272184176,,0.5009529394516933,
